AIRFOIL
  1.0000000000  0.0000000000
  0.9999724010  0.0000054175
  0.9998896070  0.0000216653
  0.9997516273  0.0000487290
  0.9995584769  0.0000865846
  0.9993101773  0.0001351988
  0.9990067558  0.0001945288
  0.9986482460  0.0002645222
  0.9982346874  0.0003451179
  0.9977661256  0.0004362453
  0.9972426125  0.0005378250
  0.9966642058  0.0006497689
  0.9960309693  0.0007719803
  0.9953429730  0.0009043541
  0.9946002928  0.0010467771
  0.9938030107  0.0011991283
  0.9929512148  0.0013612789
  0.9920449989  0.0015330929
  0.9910844633  0.0017144270
  0.9900697139  0.0019051313
  0.9890008628  0.0021050495
  0.9878780279  0.0023140190
  0.9867013333  0.0025318715
  0.9854709087  0.0027584331
  0.9841868901  0.0029935248
  0.9828494192  0.0032369631
  0.9814586437  0.0034885598
  0.9800147170  0.0037481227
  0.9785177986  0.0040154561
  0.9769680538  0.0042903610
  0.9753656536  0.0045726353
  0.9737107750  0.0048620745
  0.9720036005  0.0051584720
  0.9702443188  0.0054616193
  0.9684331239  0.0057713066
  0.9665702159  0.0060873230
  0.9646558004  0.0064094568
  0.9626900888  0.0067374961
  0.9606732980  0.0070712291
  0.9586056508  0.0074104440
  0.9564873753  0.0077549302
  0.9543187054  0.0081044777
  0.9520998805  0.0084588779
  0.9498311456  0.0088179240
  0.9475127512  0.0091814108
  0.9451449531  0.0095491355
  0.9427280128  0.0099208977
  0.9402621971  0.0102964994
  0.9377477782  0.0106757460
  0.9351850337  0.0110584455
  0.9325742466  0.0114444095
  0.9299157049  0.0118334529
  0.9272097023  0.0122253945
  0.9244565374  0.0126200566
  0.9216565142  0.0130172657
  0.9188099418  0.0134168520
  0.9159171345  0.0138186500
  0.9129784116  0.0142224985
  0.9099940975  0.0146282404
  0.9069645217  0.0150357230
  0.9038900186  0.0154447976
  0.9007709277  0.0158553203
  0.8976075933  0.0162671511
  0.8944003646  0.0166801545
  0.8911495956  0.0170941991
  0.8878556454  0.0175091579
  0.8845188773  0.0179249077
  0.8811396600  0.0183413296
  0.8777183663  0.0187583082
  0.8742553741  0.0191757324
  0.8707510655  0.0195934944
  0.8672058275  0.0200114901
  0.8636200515  0.0204296186
  0.8599941332  0.0208477824
  0.8563284731  0.0212658868
  0.8526234757  0.0216838404
  0.8488795500  0.0221015539
  0.8450971095  0.0225189410
  0.8412765716  0.0229359173
  0.8374183582  0.0233524007
  0.8335228951  0.0237683110
  0.8295906124  0.0241835695
  0.8256219442  0.0245980992
  0.8216173286  0.0250118241
  0.8175772078  0.0254246694
  0.8135020277  0.0258365612
  0.8093922383  0.0262474261
  0.8052482932  0.0266571912
  0.8010706499  0.0270657839
  0.7968597696  0.0274731316
  0.7926161171  0.0278791615
  0.7883401611  0.0282838006
  0.7840323734  0.0286869754
  0.7796932296  0.0290886119
  0.7753232089  0.0294886351
  0.7709227936  0.0298869693
  0.7664924694  0.0302835375
  0.7620327256  0.0306782619
  0.7575440544  0.0310710631
  0.7530269514  0.0314618605
  0.7484819152  0.0318505723
  0.7439094475  0.0322371148
  0.7393100533  0.0326214031
  0.7346842402  0.0330033506
  0.7300325189  0.0333828692
  0.7253554029  0.0337598691
  0.7206534085  0.0341342591
  0.7159270550  0.0345059464
  0.7111768639  0.0348748366
  0.7064033597  0.0352408339
  0.7016070695  0.0356038413
  0.6967885226  0.0359637603
  0.6919482511  0.0363204915
  0.6870867892  0.0366739340
  0.6822046737  0.0370239864
  0.6773024435  0.0373705463
  0.6723806399  0.0377135108
  0.6674398061  0.0380527762
  0.6624804876  0.0383882390
  0.6575032319  0.0387197952
  0.6525085885  0.0390473411
  0.6474971088  0.0393707732
  0.6424693460  0.0396899886
  0.6374258551  0.0400048851
  0.6323671930  0.0403153615
  0.6272939180  0.0406213178
  0.6222065903  0.0409226555
  0.6171057715  0.0412192776
  0.6119920247  0.0415110892
  0.6068659144  0.0417979976
  0.6017280065  0.0420799125
  0.5965788683  0.0423567463
  0.5914190681  0.0426284141
  0.5862491757  0.0428948345
  0.5810697617  0.0431559293
  0.5758813979  0.0434116240
  0.5706846571  0.0436618479
  0.5654801130  0.0439065343
  0.5602683401  0.0441456210
  0.5550499139  0.0443790500
  0.5498254104  0.0446067682
  0.5445954063  0.0448287272
  0.5393604791  0.0450448836
  0.5341212067  0.0452551993
  0.5288781674  0.0454596412
  0.5236319401  0.0456581820
  0.5183831039  0.0458507994
  0.5131322383  0.0460374772
  0.5078799229  0.0462182045
  0.5026267376  0.0463929762
  0.4973732624  0.0465617930
  0.4921200771  0.0467246613
  0.4868677617  0.0468815933
  0.4816168961  0.0470326066
  0.4763680599  0.0471777249
  0.4711218326  0.0473169771
  0.4658787933  0.0474503979
  0.4606395209  0.0475780271
  0.4554045937  0.0476999098
  0.4501745896  0.0478160964
  0.4449500861  0.0479266418
  0.4397316599  0.0480316058
  0.4345198870  0.0481310528
  0.4293153429  0.0482250513
  0.4241186021  0.0483136736
