#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   2.25923  1.21508 -0.00545  0.96068  0.010987  0.006975  0.000000     1.575
   2.30226  1.25811 -0.00525  0.96521  0.010491  0.006872  0.000000     1.527
   2.35258  1.30842 -0.00475  0.96953  0.010039  0.006777  0.000000     1.481
   2.41142  1.36726 -0.00387  0.97357  0.009632  0.006691  0.000000     1.440
   2.48024  1.43606 -0.00250  0.97729  0.009269  0.006614  0.000000     1.401
   2.56072  1.51652 -0.00052  0.98067  0.008950  0.006547  0.000000     1.367
   2.65483  1.61059  0.00221  0.98371  0.008671  0.006487  0.000000     1.337
   2.76489  1.72059  0.00588  0.98639  0.008432  0.006436  0.000000     1.310
   2.89360  1.84921  0.01070  0.98871  0.008229  0.006392  0.000000     1.287
   3.04412  1.99960  0.01692  0.99132  0.008046  0.006344  0.000000     1.268
